code_insee;nom_officiel;x;y;lon;lat;dist_km
42248;Saint-Just-en-Chevalet;716000;2105000;3.83237837;45.93532016;0.0
42249;Saint-Just-la-Pendue;748000;2097000;4.24237874;45.85713483;0.07588787201431788
42251;Saint-Laurent-la-Conche;748000;2081000;4.23739954;45.71322824;0.3190719584427879
42253;Saint-Léger-sur-Roanne;732000;2113000;4.04087688;46.00435136;3.6292379072067433
42254;Saint-Marcel-de-Félines;740000;2097000;4.139397;45.85883252;0.12600144482752346
42255;Saint-Marcel-d'Urfé;724000;2097000;3.93341676;45.86194461;1.1262058476110588
42256;Saint-Marcellin-en-Forez;740000;2057000;4.12766782;45.49906128;0.6225255019197711
42257;Saint-Martin-d'Estréaux;716000;2137000;3.84026909;46.22316841;0.0
42259;Saint-Martin-la-Plaine;772000;2065000;4.53974224;45.56369908;2.287322588216409
42260;Saint-Martin-la-Sauveté;724000;2097000;3.93341676;45.86194461;0.13447565736352426
42261;Saint-Martin-Lestra;756000;2081000;4.34010697;45.71144187;0.4948399478069238
42262;Saint-Maurice-en-Gourgois;748000;2049000;4.22751977;45.42542627;0.2583756375692787
42264;Saint-Médard-en-Forez;756000;2065000;4.33488697;45.56754367;1.4567954532461096
42265;Saint-Michel-sur-Rhône;788000;2049000;4.7383096;45.41560388;2.345837157594411
42266;Saint-Nizier-de-Fornas;732000;2049000;4.02315533;45.42870077;1.5299030916500977
42267;Saint-Nizier-sous-Charlieu;740000;2129000;4.14889504;46.1466566;0.3772065618837238
42268;Vézelin-sur-Loire;732000;2097000;4.03640957;45.8604359;0.0
42269;Saint-Paul-d'Uzore;740000;2081000;4.13468608;45.71492138;2.398265236543472
42270;Saint-Paul-en-Cornillon;748000;2049000;4.22751977;45.42542627;2.4825643027660704
42271;Saint-Paul-en-Jarez;772000;2057000;4.53687532;45.49175565;1.2158340534843222
42272;Saint-Pierre-de-Bœuf;788000;2041000;4.73519268;45.34366903;2.0956925195439142
42273;Saint-Pierre-la-Noaille;740000;2129000;4.14889504;46.1466566;3.615053000406858
42274;Saint-Polgues;724000;2105000;3.93551196;45.93390423;2.4434036686873384
42275;Saint-Priest-en-Jarez;756000;2057000;4.33228601;45.49559575;2.3695212243550485
42276;Saint-Priest-la-Prugne;708000;2105000;3.72923992;45.93664151;0.0
42277;Saint-Priest-la-Roche;740000;2105000;4.14176228;45.93078841;0.09389466000921018
42278;Saint-Priest-la-Vêtre;716000;2089000;3.828464;45.79139768;0.10080773480828831
42279;Saint-Just-Saint-Rambert;748000;2057000;4.22998017;45.49737523;0.0
42280;Saint-Régis-du-Coin;764000;2033000;4.42642565;45.27789337;0.0
42281;Saint-Rirand;716000;2121000;3.8363136;46.07924393;0.0
42282;Saint-Romain-d'Urfé;716000;2097000;3.83041858;45.86335871;0.8413009423994955
42283;Saint-Romain-en-Jarez;772000;2065000;4.53974224;45.56369908;0.0
42284;Saint-Romain-la-Motte;724000;2121000;3.93971891;46.077824;0.48164245629846947
42285;Saint-Romain-le-Puy;740000;2065000;4.13000097;45.57101352;0.0
42286;Saint-Romain-les-Atheux;756000;2041000;4.32710529;45.35170348;1.7213730159681948
42287;Saint-Sauveur-en-Rue;772000;2033000;4.52831956;45.27593373;0.0
42288;Saint-Sixte;724000;2089000;3.93132734;45.78998524;0.8322609376735559
42289;Saint-Symphorien-de-Lay;748000;2105000;4.24487839;45.92908865;0.0
42290;Saint-Thomas-la-Garde;740000;2065000;4.13000097;45.57101352;2.1820416725818075
